id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
1202788370641641637,La Pergola 2 (4+1 ospiti) it022081C2YL7LS2C4,590355692,Francesca,,Trentino,46.17868,11.06927,Entire home/apt,251,2,1,2024-08-18,0.22,1,174,1,IT022081C2YL7LS2C4
1202816557443198886,"Botanical di Tss - Relax e design, nuovo, centrale",159453248,Gonzalo,,Trentino,45.99152,11.26173,Entire home/apt,148,2,9,2024-12-01,1.74,27,342,9,IT022034C2DCLMHDVG
1202832800808614260,BlauHaus di TSS - Relax in contesto Originale,159453248,Gonzalo,,Trentino,45.992723589559056,11.260968638614983,Entire home/apt,146,2,11,2024-12-29,2.21,27,358,11,IT022034C2FM3FI4MY
1203110310275764799,Appartamento nel cuore di Nago,111908767,Elisa,,Trentino,45.87764,10.89079,Entire home/apt,87,1,4,2024-12-07,0.85,1,339,4,IT022124C2ZTFP98Z0
1203469124940870661,La casa delle fiabe,97752672,Claudia,,Trentino,45.90304,10.83377,Entire home/apt,147,1,8,2024-12-28,1.57,1,265,8,IT022153C285QU6Q3F
1203517116942512823,Alpine LOFT sul Lago,393409826,Federica,,Trentino,45.9379224,11.2534348,Entire home/apt,218,3,0,,,2,108,0,IT022102B4EHL3RQU7
1203532030778302731,Appartamento di montagna!,208265057,Valentina,,Trentino,45.87876,10.93549,Entire home/apt,73,1,2,2024-12-29,2,1,269,2,IT022123B4AKWUXIIE
1204062614159689314,Al Mandorlo Child & Bike Friendly - Happy.Rentals,174685474,Thomas,,Trentino,45.922997,10.865738,Entire home/apt,88,1,2,2024-11-02,0.46,132,364,2,IT022006C2Y2L5LQ9O
1204088650956226876,Apartment with SPA near Lake Garda,270230010,Iris - BELVILLA,,Trentino,45.96112,10.91256,Entire home/apt,141,1,0,,,12,365,0,
1204123230942061244,Life & View Luxury Apartment - Happy.Rentals,174685474,Thomas,,Trentino,45.88478,10.84065,Entire home/apt,,1,2,2024-10-03,0.52,132,346,2,IT022153C2N6PNKWLS
1204183186770480474,Villa Pastoedo Apartment Bianco - Happy.Rentals,174685474,Thomas,,Trentino,45.927396,10.827377,Entire home/apt,45,1,0,,,132,362,0,IT022191C2CKZ7AGJ8
1204183641095612306,Villa Pastoedo Apartment Blu - Happy.Rentals,174685474,Thomas,,Trentino,45.927396,10.827377,Entire home/apt,63,1,1,2024-08-17,0.22,132,363,1,IT022191C2RXZFVEXG
1204184277282464206,Casa Lucia in Riva Town - Happy.Rentals,174685474,Thomas,,Trentino,45.88681,10.840995,Entire home/apt,141,1,4,2024-08-31,0.75,132,302,4,IT022153C23OHOADNI
1204290184912923899,La Corte Nonesa stanza doppia 3,553757673,Francesco,,Trentino,46.435316,11.1022107,Private room,42,1,0,,,3,361,0,IT022253B55MTP8F3M
1204338212541672688,Casa del Ruscello,398041327,Luca,,Trentino,46.31863,10.8033,Entire home/apt,186,5,3,2024-08-23,0.62,1,79,3,IT022114C2NFY4TUZV
1204961723355357916,La Corte Nonesa stanza doppia 4,553757673,Francesco,,Trentino,46.435316,11.1022107,Private room,42,1,0,,,3,361,0,IT022253B55MTP8F3M
1204967115190864318,La Corte Nonesa stanza quadrupla,553757673,Francesco,,Trentino,46.435316,11.1022107,Private room,42,1,1,2024-07-28,0.19,3,361,1,IT022253B55MTP8F3M
1204972219077114702,Amancay,184961015,Ana Rebeca,,Trentino,46.03182,10.83902,Entire home/apt,107,2,0,,,1,177,0,IT022228C2FZEVKD8K
1205121396889740931,Appartamento Cocodi,543587533,Holidu,,Trentino,46.379021646018835,10.962853383610009,Entire home/apt,87,1,1,2024-11-03,0.51,29,363,1,IT022033B45RY927UG
1205689519029850942,Trilocale Finferlo - Serafini,206826316,Ireno,,Trentino,46.23565,10.82882,Entire home/apt,591,7,0,,,17,0,0,IT022143C28CHPOGN6
1205715512741375647,Bilocale Green - CIPAT 022143-AT-011496,301471702,Agenzia Immobiliare Panizza,,Trentino,46.24553,10.84007,Entire home/apt,462,4,0,,,11,72,0,IT022143B4XE4UHVGE
1205721822966487259,"Accesso diretto alle piste da sci, Marilleva 1400",591185662,Lorenzo,,Trentino,46.29775009999999,10.8130868,Entire home/apt,194,1,10,2024-12-15,1.90,1,70,10,IT022114C2B96MQRQK
1205918678835851104,Césa Gioia Val di Fassa TN,591267710,Sonia,,Trentino,46.4647093,11.716384,Entire home/apt,342,3,1,2024-09-20,0.29,1,234,1,IT022113C2ONLAZAWJ
1205926306606133483,Casa cavallino nero,591270694,Ottavio,,Trentino,45.94866589999999,10.6365775,Entire home/apt,103,3,0,,,1,276,0,
1206388994557484215,"La Casa Delle Ortensie
tra monti e laghi",591389594,Ugo,,Trentino,45.98908,11.26215,Entire home/apt,76,2,4,2024-09-20,0.91,1,298,4,IT022034C2C2VWCTGX
1206571887335017326,Bosco,505333122,Nicola,,Trentino,45.96602,10.97849,Private room,135,2,2,2024-08-23,0.43,5,364,2,IT022053B5YINP4ECN
1206947237343223976,A due passi dalle piste,531219353,Sergio,,Trentino,46.22247,10.82389,Entire home/apt,110,3,3,2024-08-26,0.64,1,214,3,IT022143C2DF53KOD8
1207031398157347529,Italo House in Serrada,225681609,Denis,,Trentino,45.88898,11.15375,Entire home/apt,280,7,0,,,1,362,0,IT022087C2R9ZFD7KK
1207133478061922291,Luminoso con giardino - sconti per più giorni,487069513,Michele,,Trentino,46.01058,11.298,Private room,85,1,28,2024-12-29,5.25,1,174,28,IT022104C2DL9ALD6E
1207137008329747604,CasaRipa26 - Appartamento Rocca,591624991,Laura,,Trentino,45.88662,10.84015,Entire home/apt,130,2,8,2024-09-21,1.52,2,312,8,IT022153C28NY278Q8
1207209661159327837,Camera 3 letti+bagno-Cavareno,396347542,Ferdinando,,Trentino,46.4074,11.14617,Private room,,1,9,2024-09-01,1.68,1,208,9,IT022051A15FKK8C57
1207304386109865604,B&B Casa Fiorita SUAP 7576,591691813,Mariana,,Trentino,46.1816263,11.0712534,Private room,145,3,1,2024-12-30,1,1,332,1,IT022081C1MJOVDLSW
1207852365704733241,Casa De Nardis Sunny House - Happy.Rentals,174685474,Thomas,,Trentino,45.890565,10.846657,Entire home/apt,166,1,3,2024-08-19,0.62,132,359,3,IT022153B4DDBDB8BY
1207869979561217691,Casetta nella pacifica Tremalzo,171818185,Mario,,Trentino,45.8421221,10.6862424,Entire home/apt,120,7,0,,,1,365,0,IT022229C253KU779W
1207901859825034230,Relax a Baselga di Pinè,467033533,Fabiola,,Trentino,46.1487535,11.2656815,Entire home/apt,80,2,7,2024-09-18,1.40,1,23,7,IT022009C25WXSWWTB
1208046050643060625,Appartamento vista sul Brenta,591923080,Loredana,,Trentino,46.34573,11.08613,Entire home/apt,,2,0,,,1,88,0,IT022230C2MBW6KW7W
1208050052358174558,Vista Adamello in villa,12024570,Caterina,,Trentino,46.15202315959452,10.76915469020605,Entire home/apt,190,5,1,2024-08-18,0.22,2,163,1,IT022093B4KK36RF8K
1208573838182436965,Baita Misonet,353360006,Marika,,Trentino,46.0013,10.85913,Entire home/apt,,1,0,,,1,0,0,IT022083B4UHMSYZF3
1208629171470165176,appartamento,174129080,Silvia,,"Trento, Trentino",46.13466,11.13325,Entire home/apt,153,1,1,2024-09-14,0.27,1,14,1,IT022205C2JMFOSTBH
1209108737228766171,Apt Ochner Strawberry 5 Pergine,544066457,Holidu,,Trentino,46.0600272,11.2404356,Entire home/apt,131,1,0,,,9,365,0,IT022139C22FCJ8DER
1209218508690316669,Casa Maia: Grillo,1917655,Titti&Sabri,,Trentino,46.36504,11.0743,Entire home/apt,90,2,9,2024-11-03,1.85,4,178,9,IT022169C2EL8AL7JH
1209267094695765433,Residence Villa Dalila - Athena,589833422,Ilenia,,Trentino,45.8863,10.85776,Entire home/apt,173,7,0,,,3,148,0,IT022153C24MROMVG8
1209281399997562319,Casa Vacanza Molveno,592271357,Alessandra,,Trentino,46.14564,10.96848,Entire home/apt,140,6,0,,,1,179,0,
1209285192214747444,Camera tripla con angolo cottura,17547953,Lisanna,,Trentino,46.42037,11.67564,Private room,161,1,0,,,7,125,0,IT02714990229
1209468618980407879,Appartamento Garten,70653150,Eros,,Trentino,46.00198,11.24925,Entire home/apt,112,4,0,,,1,218,0,
1209765828146868586,appartamento  5 posti letto,586754112,Giuliana,,Trentino,46.3743917,10.8767856,Entire home/apt,155,5,0,,,2,197,0,IT022150C2LXO2KKIK
1209781114747574398,Villa con vista sull’Adamello,12024570,Caterina,,Trentino,46.15146,10.76852,Entire home/apt,250,4,3,2024-08-24,0.62,2,142,3,IT022093C2KYH63133
1209903985305257091,Il nido di Montagna_ga,270511617,Michele,,Trentino,46.09677477541699,11.235016845166683,Entire home/apt,130,3,6,2024-10-02,1.20,1,348,6,IT022009C29NJ9RQFB
1210004153460822957,Camera con balcone panoramico,261124491,Hotel,,Trentino,46.07807,10.90543,Private room,,1,3,2024-10-09,0.81,5,0,3,IT022231A1LOXFTY3J
1210028500919187847,camera 201,581643452,Stefano,,Trentino,46.100206958254674,10.742036388364237,Private room,303,2,0,,,4,53,0,
